ก.	kram0	gram;abbr. for กรัม
เลื่อนชั้น	lW:an2Can3	to advance
เลื่อนฐานะ	lW:an2Ta:4na3	to advance
เลื่อนตำแหน่ง	lW:an2tam0nEN1	to get a promotion
เลื่อนที่	lW:an2Ti:2	to move;to shift;to promote;to upgrade;to raise
เลื่อนยศ	lW:an2jot3	to move to a higher rank;promoted
เลื่อนลอย	lW:an2lO:j0	to drift
เลื่อนสลัก	lW:an2sa0lak1	to bolt
เลื่อนหน้าที่	lW:an2na:2Ti:2	to promote
เลื่อนเปื้อน	lW:an2pW:an2	with one's thought wandering
เลื่อนเวลา	lW:an2we:0la:0	to postpone
เลื่อนไป	lW:an2paj0	to flow
เลื่อนไหล	lW:an2laj4	to flow;to run
เลื่อมพราย	lW:am2Pra:j0	shiny
เลื่อมใส	lW:am2saj4	to believe in
เลื่อย	lW:aj2	to saw
เลื้อย	lW:aj3	to crawl;to creep;to climb;to advance slowly
เลื้อยคลาน	lW:aj3Kla:n0	reptile
เลื้อยเจื้อย	lW:aj3cW:aj2	garrulously
เลเซอร์	le:0sx:2	laser beam
เล็ก	lek3	tiny
เล็กกระจิดริด	lek3kra0cit1rit1	tiny
เล็กน้อย	lek3nO:j3	a little;trivial;having a smattering of knowledge
เล็กมาก	lek3ma:k2	midget
เล็กลง	lek3loN0	to shrink
เล็กแกร็น	lek3krEn0	dwarfed
เล็ก ๆ น้อย ๆ	lek3lek3nO:j3nO:j3	trifling
เล็ก ๆ	lek3lek3	very small
เล็ง	leN0	to aim;to point;to stare
เล็ด	let3	to leak out;pit;stone;seed
เล็ดลอด	let3lO:t2	to sneak;to escape by stealth
เล็น	len0	flea;lice;nit
เล็บ	lep3	nail;claw;talon
เล็บมือ	lep3mW:0	fingernail
เล็บเท้า	lep3Taw3	toenail
เล็ม	lem0	to trim
เล็มผม	lem0Pom4	to trim hair
เล่น	len2	to play
เล่นกล	len2kon0	to play tricks;to juggle;to play magic;tricks;magic
เล่นขายของ	len2Ka:j4KO:N4	childish
เล่นคำ	len2Kam0	to play on words;to pun
เล่นงาน	len2Na:n0	to tackle;to maltreat;to oppress;to attack;to blame;to criticize
เล่นชู้	len2Cu:3	to commit adultery
เล่นดนตรี	len2don0tri:0	to play a prelude
เล่นตลก	len2ta0lok1	to trick;to deceive;to joke
เล่นตัว	len2tu:a0	to hold out for;independent;difficult;stand-offish
เล่นตา	len2ta:0	to glance
เล่นตีผึ้ง	len2ti:0PWN2	kind of game in the northeast of Thailand
เล่นบท	len2bot1	to act as
เล่นบ้า ๆ	len2ba:2ba:2	to fool around with
เล่นพรรคเล่นพวก	len2Pak3len2Pu:ak2	to show favoritism;to play favorites with sb
เล่นพระ	len2Pra3	to collect Buddha images
เล่นพวก	len2Pu:ak2	to show favoritism;to play favorites with sb
เล่นพวกเล่นพ้อง	len2Pu:ak2len2PO:N3	to show favoritism;to play favorites with sb
เล่นพิเรนทร์	len2Pi3re:n0	to do odd things
เล่นลิ้น	len2lin3	to quibble;to equivocate
เล่นว่าว	len2wa:w2	to fly a kite
เล่นสวาท	len2sa0wa:t1	to commit a homosexuality;to practice sodomy
เล่นสำนวน	len2sam4nu:an0	to make a pun;to quibble
เล่นสำบัดสำนวน	len2sam4bat1sam4nu:an0	to equivocate
เล่นหัว	len2hu:a4	to play;to sport;to banter
เล่นหาง	len2ha:N4	cursive
เล่นหูเล่นตา	len2hu:4len2ta:0	to flirt with the eyes;to wink at sb
เล่นเบี้ย	len2bi:a2	to gamble
เล่นเพื่อน	len2PW:an2	to commit lesbianism
เล่นแง่	len2NE:2	to hold off;to hold out;to stand off
เล่นแผลง ๆ	len2PlE:N4PlE:N4	to fool around with
เล่นแร่แปรธาตุ	len2rE:2prE:0Ta:t2	to perform alchemy
เล่น ๆ	len2len2	falsely
เล่ม	lem2	classifer for books, knives, swords, etc.
เล่มหนังสือ	lem2naN3sW:4	copy
เล่ห์	le:2	trick;cunning;artifice
เล่ห์กระเท่	le:2kra0Te:2	trick;artifice
เล่ห์กระเท่ห์	le:2kra0Te:2	trick;artifice
เล่ห์กล	le:2kon0	trick;artifice
เล่ห์เหลี่ยม	le:2li:am1	cunning;trick
เล่อ	lx:2	awkward;clumsy
เล่อล่า	lx:2la:2	clumsy
เล่า	law2	to tell;to describe;to recite
เล่าขาน	law2Ka:n4	to tell (a story)
เล่าต่อ ๆ กันมา	law2tO:1tO:1kan0ma:0	from mouth to mouth
เล่าลือ	law2lW:0	to rumor
เล่าเรียน	law2ri:an0	to study
เล่าเรื่อง	law2rW:aN2	to tell
เล้ง	le:N3	to speak loud
เล้า	law3	stable;stall;pen
เล้าโลม	law3lo:m0	to wheedle;to console;to soothe;to cajole
เวกเตอร์	we:k3tx:2	vector
เวค	we:k2	speed
เวช	we:t2	physician;doctor
เวชกรรม	we:t2Ca0kam0	medicine;medical treatment
เวชภัณฑ์	we:t2Ca0Pan0	medical supplies
เวชยันต์	we:t2Ca0jan0	Indra's palace or chariot
เวชศาสตร์	we:t2Ca0sa:t1	medical sciences;medicine
เวชศาสตร์ช่องปาก	we:t2Ca0sa:t1CON2pa:k1	oral medicine
เวชศาสตร์ฟื้นฟู	we:t2Ca0sa:t1fW:n3fu:0	rehabilitation medicine
เวณิก	we:0nik3	lute player
เวตาล	we:0ta:n0	vetala;vampire;kind of spirits dwelling in cemetery
เวท	we:t2	incantation;magic;spell;religious knowledge
เวทนา	we:t2Ta0na:0	to pity;to sympathize
เวทมนตร์	we:t2mon0	magic;spell
เวทมนตร์คาถา	we:t2mon0Ka:0Ta:4	magic
เวทย์มนตร์	we:t2mon0	magic;black art;spell
เวที	we:0Ti:0	stage;arena;platform;ring;center
เวทีการเมือง	we:0Ti:0ka:n0mW:aN0	political stage
เวทีมวย	we:0Ti:0mu:aj0	boxing ring
เวน	we:n0	to transfer;to give;to hand over
เวนคืน	we:n0KW:n0	to expropriate;to take over for use;to return;to restore;to surrender
เวร	we:n0	turn;shift;duty;retribution;fate;misfortune
เวรกรรม	we:n0kam0	fate;retribution
เวรี	we:0ri:0	enemy;opponent
เวลา	we:0la:0	time;period;hour;chance;occasion;when
เวลากลางวัน	we:0la:0kla:N0wan0	daytime
เวลาค่ำ	we:0la:0Kam2	dusk
เวลาจริง	we:0la:0ciN0	real time
เวลาช้านาน	we:0la:0Ca:3na:n0	long time in the past
เวลาตกฟาก	we:0la:0tok1fa:k2	time of birth
เวลาทำการ	we:0la:0Tam0ka:n0	office hours
เวลาทำงาน	we:0la:0Tam0Na:n0	office hours
เวลานอน	we:0la:0nO:n0	bedtime
เวลานัดหมาย	we:0la:0nat3ma:j4	appointed time
เวลานี้	we:0la:0ni:3	at present
เวลาบ่าย	we:0la:0ba:j1	afternoon
เวลาปิด	we:0la:0pit1	closing time
เวลาพักผ่อน	we:0la:0Pak3POn1	rest time
เวลามาตรฐาน	we:0la:0ma:t2tra0Ta:n4	standard time
เวลามืด	we:0la:0mW:t2	night
เวลามืดค่ำ	we:0la:0mW:t2Kam2	nightfall
เวลาย่ำค่ำ	we:0la:0jam2Kam2	dusk;nightfall
เวลาย่ำรุ่ง	we:0la:0jam2ruN2	dawn;daybreak
เวลารุ่งสาง	we:0la:0ruN2sa:N4	dawn
เวลาสาง	we:0la:0sa:N4	very early
เวลาอาหาร	we:0la:0a:0ha:n4	meal time
เวลาเกิด	we:0la:0kx:t1	time of delivery
เวลาเข้านอน	we:0la:0Kaw2nO:n0	bedtime
เวลาเช้า	we:0la:0Ca:w3	morning
เวลาเปิด	we:0la:0px:t1	opening time
เวลาเย็น	we:0la:0jen0	evening;dusk
เวลาเริ่ม	we:0la:0rx:m2	beginning time
เวลาเร่งด่วน	we:0la:0reN2du:an1	rush hours
เวลาเล่น	we:0la:0len2	playtime
เวลาใด	we:0la:0daj0	when
เวศยา	we:t2sa0ja:4	prostitute
เวสน์	we:t2	house
เวสสันดร	we:t2san4dO:n0	Vessantara;name of the Buddha in his tenth existence
เวสสันดรชาดก	we:t2san4dO:n0Ca:0dok1	story of Gautama Buddha as Vessantara
เวสสุกรรม	we:t2su1kam0	Vishnu
เวสสุวัณ	we:t2su1wan0	God of Wealth;God of the North;North Deva;Vaisramana
เวหะ	we:0ha1	sky
เวหา	we:0ha:4	sky
เวหาส	we:0ha:t1	sky
เวิก	wx:k2	to open;to uncover;to lift;to take off
เวิร์ลไวด์เว็บ	wx:n0waj0wep3	World Wide Web;WWW
เวิ้ง	wx:N3	river bend
เวิ้งน้ำ	wx:N3na:m3	river bend
เวิ้งว้าง	wx:N3wa:N3	vast;wide;immense
เวียง	wi:aN0	walled city
เวียตนาม	wi:at2na:m0	Vietnamese
เวียน	wi:an0	to circle
เวียนกลับ	wi:an0klap1	to turn back
เวียนขวา	wi:an0Kwa:4	clockwise
เวียนซ้าย	wi:an0sa:j3	counterclockwise
เวียนวน	wi:an0won0	to revolve;to move around;to circle around
เวียนหัว	wi:an0hu:a4	to feel dizzy
เวียนเทียน	wi:an0Ti:an0	to walk around a temple with lighted candles in hand;to pass lighted candles clockwise round a venerable person
เวียนไปเวียนมา	wi:an0paj0wi:an0ma:0	to do sth again and again
เวียร	wi:an0	diligent;industrious
เวโรจน์	we:0ro:t2	brightness;prosperity;progress
เวไนย	we:0naj0	teachable person;tractable person
เว็บไซต์	wep3saj0	website
เว่อ	wx:2	gaping;wide;large
เว้น	we:n3	to omit;to abstain (from);to leave a space;to miss;to skip
เว้นชีวิต	we:n3Ci:0wit3	to spare one's life
เว้นระยะ	we:n3ra0ja3	to space out;to put spaces
เว้นวรรค	we:n3wak3	space
เว้นเสียแต่	we:n3si:a4tE:1	besides
เว้นเสียแต่ว่า	we:n3si:a4tE:1wa:2	except
เว้นแต่	we:n3tE:1	unless;but;if not;only if;except
เว้นแต่ว่า	we:n3tE:1wa:2	unless
เว้ย	wx:j3	particle roughly equivalent to "hey" or "hi"
เว้า	waw3	to speak;to talk;concave;dented;indented
เว้าวอน	waw3wO:n0	to beg
เว้าแหว่ง	waw3wEN1	indented;dented;to indent
เศรษฐกิจ	se:t1Ta0kit1	economy
เศรษฐกิจนอกระบบ	se:t1Ta0kit1nO:k2ra0bop1	black economy
เศรษฐกิจพอเพียง	se:t1Ta0kit1PO:0Pi:aN0	sufficient economy
เศรษฐกิจฟองสบู่	se:t1Ta0kit1fO:N0sa0bu:1	bubble economy
เศรษฐวิทยา	se:t1Ta0wit3Ta0ja:0	economics
เศรษฐศาสตร์	se:t1Ta0sa:t1	economics
เศรษฐศาสตร์การเมือง	se:t1Ta0sa:t1ka:n0mW:aN0	political economy
เศรษฐศาสตร์จุลภาค	se:t1Ta0sa:t1cun0la0Pa:k2	microeconomics
เศรษฐศาสตร์มหภาค	se:t1Ta0sa:t1ma0ha1Pa:k2	macroeconomics
เศรษฐี	se:t1Ti:4	millionaire
เศรษฐีใหม่	se:t1Ti:4maj1	new rich
เศร้า	saw2	sad;depressed;melancholic;regretful
เศร้าซึม	saw2sWm0	depressed;sad;downhearted
เศร้าสร้อย	saw2sOj2	sad;regretful;depressed;melancholic
เศร้าสลด	saw2sa0lot1	sad;melancholy;depressed
เศร้าหมอง	saw2mO:N4	gloomy;depressed
เศร้าเสียใจ	saw2si:a4caj0	to sadden
เศร้าโศก	saw2so:k1	to feel depressed;sad
เศร้าใจ	saw2caj0	to feel sad;to feel depressed;melancholy
เศวต	sa0we:t1	white
เศวตฉัตร	sa0we:t1ta0Cat1	white nine-tiered umbrella being a symbol of royalty
เศษ	se:t1	fraction;bits;bits and pieces;leftover;remnant;more than
เศษกระดาษ	se:t1kra0da:t1	waste paper
เศษผ้า	se:t1Pa:2	remnant of cloth
เศษย่อย	se:t1jOj2	fraction
เศษสตางค์	se:t1sa0ta:N0	small change (money)
เศษสิบ	se:t1sip1	decimal fraction;a tenth
เศษส่วน	se:t1su:an1	fraction
เศษหนึ่งส่วนสอง	se:t1nWN1su:an1sO:N4	half
เศษหนึ่งส่วนสี่	se:t1nWN1su:an1si:1	one-fourth
เศษอาหาร	se:t1a:0ha:n4	food scraps;crumb;discarded food
เศษเกิน	se:t1kx:n0	improper fraction
เศษเดน	se:t1de:n0	remnant
เศษเล็กเศษน้อย	se:t1lek3se:t1nO:j3	bits and pieces;remnant;scrap
เศษเหลือ	se:t1lW:a4	portion
เศษไม้	se:t1ma:j3	splinter
เศียร	si:an4	head
เสก	se:k1	to recite an incantation;to sprinkle holy water on the bride and groom at a wedding;magical;to create
เสกสรร	se:k1san4	to invent;to make up;to fabricate
เสกสรรปั้นแต่ง	se:k1san4pan2tEN1	to invent
เสกเป่า	se:k1paw1	to recite an incantation
เสความ	se:4Kwa:m0	to pervert;to twist
เสงี่ยม	sa0Ni:am1	polite
เสงี่ยมหงิม	sa0Ni:am1Nim4	to reserve
เสด็จ	sa0det1	personal pronoun for kings or royal personages;His/Her Highness;to proceed;to go;to come
เสด็จพระราชดำเนิน	sa0det1Pra0ra:t2Ca0dam0nx:n0	to go;to proceed
เสด็จพระราชสมภพ	sa0det1Pra0ra:t2Ca0som4Pop3	to born
เสด็จออกมหาสมาคม	sa0det1O:k1ma0ha:4sa0ma:0Kom0	to attend a meeting
เสด็จในกรม	sa0det1naj0krom0	prince
เสถียร	sa0Ti:an4	stable;firm;strong
เสถียรภาพ	sa0Ti:an4ra0Pa:p2	stability;firmness;security
เสท	se:4Ta3	sweat
เสธ.	se:4na:0Ti3ka:n0	chief of military staff;abbr. for เสนาธิการ
เสน	se:n4	red lead
เสนอ	sa0nx:4	to inform
เสนอขาย	sa0nx:4Ka:j4	to offer for sale
เสนอความเห็น	sa0nx:4Kwa:m0hen4	to express one's opinion
เสนอคำถาม	sa0nx:4Kam0Ta:m4	to pose a question
เสนอชื่อ	sa0nx:4CW:2	to nominate
เสนอราคา	sa0nx:4ra:0Ka:0	to bid
เสนอหน้า	sa0nx:4na:2	to poke one's nose into
เสนอแนะ	sa0nx:4nE3	to guide
เสนา	se:4na:0	court official
เสนาธิการ	se:4na:0Ti3ka:n0	aide-de-camp;chief of military staff
เสนาธิการทหาร	se:4na:0Ti3ka:n0Ta0ha:n4	Chief of Joint Staff
เสนาธิการทหารบก	se:4na:0Ti3ka:n0Ta0ha:n4bok1	Chief of Staff;RTA
เสนาธิการทหารเรือ	se:4na:0Ti3ka:n0Ta0ha:n4rW:a0	Chief of Staff;RTN
เสนาบดี	se:4na:0bO:0di:0	minister;chief official;high-ranked official;secretary of state;general;commander-in-chief
เสนาะ	sa0nO1	melodious
เสนาะหู	sa0nO1hu:4	sweetly
เสนียด	sa0ni:at1	evil;vicious;misfortune
เสนียดจัญไร	sa0ni:at1can0raj0	evil;vicious;misfortune
เสน่หา	sa0ne:1ha:4	love;affection
เสน่ห์	sa0ne:1	charm;fascination
เสบียง	sa0bi:aN0	provision;food stuff;food reserves
เสบียงกรัง	sa0bi:aN0kraN0	provision
เสบียงอาหาร	sa0bi:aN0a:0ha:n4	provision;food stuff;dried food
เสพ	se:p1	to eat;to consume
เสพติด	se:p1tit1	addictive
เสพย์สุข	se:p1suk1	to enjoy happiness
เสพสังวาส	se:p1saN4wa:t2	to have sex
เสพสุรา	se:p1su1ra:0	to drink alcohol
เสพเมถุน	se:p1me:0Tun4	to have a sexual intercourse
เสภา	se:4Pa:0	Thai verse
เสมหะ	se:m4ha1	phlegm;mucus
เสมอ	sa0mx:4	equal;even;balanced;always;often
เสมอกัน	sa0mx:4kan0	to fit
เสมอขอบ	sa0mx:4KO:p1	flush with
เสมอตัว	sa0mx:4tu:a0	to break even;to make neither profit nor loss
เสมอต้นเสมอปลาย	sa0mx:4ton2sa0mx:4pla:j0	consistently;constantly
เสมอทุน	sa0mx:4Tun0	to break even;to cover the cost
เสมอนอก	sa0mx:4nO:k2	to stand on the sidelines
เสมอบ่าเสมอไหล่	sa0mx:4ba:1sa0mx:4laj1	equally
เสมอพื้น	sa0mx:4PW:n3	flush with
เสมอฟ้า	sa0mx:4fa:3	as high as the sky
เสมอภาค	sa0mx:4Pa:k2	neutrally;impartially;equal
เสมอหน้า	sa0mx:4na:2	equal;on a par with
เสมอเหมือน	sa0mx:4mW:an4	likewise
เสมอไป	sa0mx:4paj0	always;often
เสมอ ๆ	sa0mx:4sa0mx:4	always;often
เสมา	se:4ma:0	boundary marker of a temple
เสมียน	sa0mi:an4	clerk
เสมือน	sa0mW:an4	likewise;similarly
เสมือนดั่ง	sa0mW:an4daN1	like;such as
